location,estimate_type,year,grilse,adults,totals
Hatchery Spawners Subtotals,Spawner Escapement,1981,,,16507.0
Hatchery Spawners Subtotals,Spawner Escapement,1982,33857.0,50364.0,18646.0
Hatchery Spawners Subtotals,Spawner Escapement,1983,31951.0,50597.0,2526.0
Hatchery Spawners Subtotals,Spawner Escapement,1981,30784.0,33310.0,
Hatchery Spawners Subtotals,Spawner Escapement,1982,18051.0,38282.0,56333.0
Hatchery Spawners Subtotals,Spawner Escapement,1983,24714.0,42362.0,67076.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1984,764.0,5330.0,6094.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1985,2159.0,19951.0,22110.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1986,1461.0,17096.0,18557.0
Trinity River Hatchery (TRH),Spawner Escapement,1984,766.0,2166.0,2932.0
Trinity River Hatchery (TRH),Spawner Escapement,1985,18166.0,2583.0,20749.0
Trinity River Hatchery (TRH),Spawner Escapement,1986,3609.0,15795.0,19404.0
Hatchery Spawners Subtotals,Spawner Escapement,1984,,1530.0,7496.0
Hatchery Spawners Subtotals,Spawner Escapement,1985,9026.0,20325.0,22534.0
Hatchery Spawners Subtotals,Spawner Escapement,1986,42859.0,5070.0,32891.0
Hatchery Spawners Subtotals,Spawner Escapement,1984,37961.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1985,,3416.0,5654.0
Hatchery Spawners Subtotals,Spawner Escapement,1986,9070.0,29454.0,9217.0
Hatchery Spawners Subtotals,Spawner Escapement,1984,38671.0,20459.0,92548.0
Hatchery Spawners Subtotals,Spawner Escapement,1985,113007.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1986,,,905.0
Hatchery Spawners Subtotals,Spawner Escapement,1984,2259.0,3164.0,949.0
Hatchery Spawners Subtotals,Spawner Escapement,1985,2716.0,3665.0,
Hatchery Spawners Subtotals,Spawner Escapement,1986,358.0,1443.0,1801.0
Hatchery Spawners Subtotals,Spawner Escapement,1984,1357.0,3051.0,4408.0
Hatchery Spawners Subtotals,Spawner Escapement,1985,4865.0,3176.0,8041.0
Hatchery Spawners Subtotals,Spawner Escapement,1986,,480.0,2362.0
Hatchery Spawners Subtotals,Spawner Escapement,1984,2842.0,2227.0,2897.0
Hatchery Spawners Subtotals,Spawner Escapement,1985,5124.0,683.0,3274.0
Hatchery Spawners Subtotals,Spawner Escapement,1986,3957.0,,465.0
Hatchery Spawners Subtotals,Spawner Escapement,1984,3039.0,3504.0,1156.0
Hatchery Spawners Subtotals,Spawner Escapement,1985,3491.0,4647.0,1184.0
Hatchery Spawners Subtotals,Spawner Escapement,1986,6124.0,7308.0,
Hatchery Spawners Subtotals,Spawner Escapement,1984,,200.0,1350.0
Hatchery Spawners Subtotals,Spawner Escapement,1985,1550.0,156.0,468.0
Hatchery Spawners Subtotals,Spawner Escapement,1986,624.0,196.0,603.0
Hatchery Spawners Subtotals,Spawner Escapement,1984,799.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1985,150.0,990.0,1140.0
Hatchery Spawners Subtotals,Spawner Escapement,1986,646.0,4214.0,4860.0
Hatchery Spawners Subtotals,Spawner Escapement,1984,606.0,4919.0,5525.0
Hatchery Spawners Subtotals,Spawner Escapement,1985,,,
Hatchery Spawners Subtotals,Spawner Escapement,1986,,,
Hatchery Spawners Subtotals,Spawner Escapement,1984,,,
Hatchery Spawners Subtotals,Spawner Escapement,1985,,,
Hatchery Spawners Subtotals,Spawner Escapement,1986,,,
Hatchery Spawners Subtotals,Spawner Escapement,1984,5285.0,16064.0,21349.0
Hatchery Spawners Subtotals,Spawner Escapement,1985,35951.0,25677.0,61628.0
Hatchery Spawners Subtotals,Spawner Escapement,1986,28942.0,113360.0,142302.0
Total Spawner Escapement,Spawner Escapement,1984,,6815.0,23560.0
Total Spawner Escapement,Spawner Escapement,1985,30375.0,56276.0,48211.0
Total Spawner Escapement,Spawner Escapement,1986,104487.0,34012.0,146251.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1987,1825.0,15189.0,17014.0
