Fiscal Year,Program,Species,Source Table,Spawning / Cross Date,Female ID,Male ID 1,Male ID 2,Male ID 3,Male ID 4,Male ID 5,Male ID 6,Number of Males in Cross,Family Groups,Incubation Vessel,Egg Volume (mL),Eggs per mL,Total Eggs,1st Fry Count,1st Hatch Rate (%),2nd Fry Count,2nd Hatch Rate (%),Hatch Date
2025,Wild ESS Spawning,LRS,"FY2025 Report, Table 3",4/18/2025,0078DADDCF,0078DADDD8,003BC11270,,,,,2,2,,65,100,6500,3790,58.3,3790,58.3,
2025,Wild ESS Spawning,LRS,"FY2025 Report, Table 3",4/18/2025,0078DADC56,257C67C79D,0078DADDC4,,,,,2,2,,47,107.14,5036,2072,41.1,2072,41.1,
2025,Wild ESS Spawning,LRS,"FY2025 Report, Table 3",4/18/2025,003C08E8FE,0078DADDCE,0078DADDC4,,,,,2,2,,109,96.77,10548,4596,43.6,4596,43.6,
2025,Wild ESS Spawning,LRS,"FY2025 Report, Table 3",4/18/2025,0078DADDD5,003BF7C0F1,003BC11270,,,,,2,2,,98,78.95,7737,1129,14.6,1129,14.6,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",4/25/2025,003C0884B0,003D7C5EB8,003C08BA73,,,,,2,2,,170,115.38,19615,6881,35.1,10165,51.8,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",4/25/2025,003C087DD8,003C08CADD,003C08BA87,,,,,2,2,,260,83.33,21667,10428,48.1,12620,58.2,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",4/25/2025,003C08CB44,003D77D415,,,,,,1,1,,5.8,115.38,669,625,93.4,644,96.2,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",4/25/2025,003D78B150,003D77D45B,003D7C6D3E,,,,,2,2,,35,166.67,5833,1719,29.5,2157,37,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",4/25/2025,003C08C757,003C08C4C7,,,,,,1,1,,12,88.42,1061,265,25,251,23.7,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",4/25/2025,003D78D247,003D77DA49,003C088060,,,,,2,2,,64,113.33,7253,1921,26.5,2533,34.9,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",4/25/2025,003D78A5BB,003C0884F6,003D77E270,,,,,2,2,,44,81.92,3605,2055,57,2141,59.4,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",4/25/2025,003D77E2A0,003C08BCA7,003D78A835,,,,,2,2,,,,2161,2161,100,1954,90.4,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",4/25/2025,003C08C52B,003C087DE1,003C08CAF4,,,,,2,2,,110,71.43,7857,2052,26.1,2485,31.6,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",4/25/2025,003C08CADE,003D78CB7A,003C087E1B,,,,,2,2,,90,78.95,7106,4396,61.9,5858,82.4,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",5/12/2025,003D7C6F7D,003C088515,003D77E228,,,,,2,2,,55,92.11,5241,3833,73.1,3730,71.2,
2025,Captive Broodstock Spawning,SNS,"FY2025 Report, Table 5",5/12/2025,003C08C87C,003D77E1DE,003E14A9CF,,,,,2,2,,10.1,119.33,1384,51,3.7,51,3.7,
2025,Captive Broodstock Spawning,LRS,"FY2025 Report, Table 6",4/25/2025,003D7C7238,003C08CA5F,003E43CF8E,,,,,2,2,,11.6,186.67,2165,51,2.4,0,0,
2025,Captive Broodstock Spawning,LRS,"FY2025 Report, Table 6",4/25/2025,003C08C52D,003D77CF8E,003D7C857F,,,,,2,2,,36,147.27,5302,21,0.4,9,0.2,
2025,Captive Broodstock Spawning,LRS,"FY2025 Report, Table 6",4/25/2025,003C087FD3,003C08CA5F,003D7CA171,,,,,2,2,,130,115,14950,3361,22.5,5582,37.3,
2025,Captive Broodstock Spawning,LRS,"FY2025 Report, Table 6",4/25/2025,003D77D187,003C08CB2F,003D7CA171,,,,,2,2,,28,105.33,2949,0,0,0,0,
