fiscal_year,month,pond,mortality,type,age,starting_count
2024,Mar,P19,14,pond,1,628
2024,Mar,P18,1,pond,1,1500
2024,Mar,P19,5,pond,1,628
2024,Mar,P19,6,pond,1,628
2024,Mar,P19,1,pond,1,628
2024,Mar,P5,1,pond,4,302
2024,Mar,P18,1,pond,1,1500
2024,Mar,P19,5,pond,1,628
2024,Mar,P18,1,pond,1,1500
2024,Mar,P19,2,pond,1,628
2024,Mar,P20,1,pond,1,423
2024,Apr,P19,1,pond,1,628
2024,Apr,P20,1,pond,1,423
2024,Apr,P16,1,pond,2/other,504
2024,Apr,P17,1,pond,2/other,911
2024,Apr,P16,2,pond,2/other,504
2024,Apr,P19,1,pond,1,628
2024,Apr,P16,1,pond,2/other,504
2024,Apr,P3,1,pond,4,102
2024,Apr,P16,1,pond,2/other,504
2024,Apr,P19,1,pond,1,628
2024,May,P2,1,pond,4,100
2024,May,P5,1,pond,4,302
2024,May,P16,2,pond,2/other,504
2024,May,P4,1,pond,4,100
2024,May,P5,1,pond,4,302
2024,May,P16,1,pond,2/other,504
2024,May,P2,1,pond,4,100
2024,May,P4,1,pond,4,100
2024,May,P20,1,pond,1,423
2024,May,P17,1,pond,2/other,911
2024,May,P1,1,pond,4,103
2024,May,P1,1,pond,4,103
2024,May,P6,1,pond,3,311
2024,May,P7,1,pond,4,3631
2024,Jun,P3,1,pond,4,102
2024,Jun,P16,2,pond,2/other,504
2024,Jun,P18,1,pond,1,1500
2024,Jun,P17,1,pond,2/other,911
2024,Jun,P16,2,pond,2/other,504
2024,Jun,P19,1,pond,1,628
2024,Jun,P20,1,pond,1,423
2024,Jun,P6,1,pond,3,311
2024,Jun,P4,2,pond,4,100
2024,Jun,P5,1,pond,4,302
2024,Jun,P6,1,pond,3,311
2024,Jul,P16,2,pond,2/other,504
2024,Jul,P17,1,pond,2/other,911
2024,Jul,P8,1,pond,4,84
2024,Jul,P15,1,pond,2/other,504
2024,Jul,P12,3,pond,0/2,504
2024,Jul,P16,1,pond,2/other,504
2024,Jul,P7,2,pond,4,3631
2024,Jul,P15,1,pond,2/other,504
2024,Jul,P16,1,pond,2/other,504
2024,Jul,P20,1,pond,1,423
2024,Jul,P2,1,pond,4,100
2024,Jul,P15,3,pond,2/other,504
2024,Jul,P12,1,pond,0/2,504
2024,Jul,P15,3,pond,2/other,504
2024,Jul,P12,4,pond,0/2,504
2024,Jul,P13,1,pond,0/1/2,505
2024,Jul,P14,1,pond,0/1/2,502
2024,Jul,P15,3,pond,2/other,504
2024,Jul,P11,1,pond,0/2,503
2024,Jul,P12,4,pond,0/2,504
2024,Jul,P13,1,pond,0/1/2,505
2024,Jul,P14,1,pond,0/1/2,502
2024,Jul,P15,16,pond,2/other,504
2024,Jul,P16,1,pond,2/other,504
2024,Jul,P11,2,pond,0/2,503
2024,Jul,P15,14,pond,2/other,504
2024,Jul,P19,1,pond,1,628
2024,Jul,P10,1,pond,0/2,504
2024,Jul,P15,24,pond,2/other,504
2024,Jul,P1,2,pond,4,103
2024,Jul,P10,8,pond,0/2,504
2024,Jul,P11,7,pond,0/2,503
2024,Jul,P12,1,pond,0/2,504
2024,Jul,P13,1,pond,0/1/2,505
2024,Jul,P15,1,pond,2/other,504
2024,Jul,P10,2,pond,0/2,504
2024,Jul,P11,10,pond,0/2,503
2024,Jul,P15,8,pond,2/other,504
2024,Jul,P1,1,pond,4,103
2024,Jul,P11,5,pond,0/2,503
2024,Jul,P12,1,pond,0/2,504
2024,Jul,P13,1,pond,0/1/2,505
2024,Jul,P15,4,pond,2/other,504
2024,Jul,P11,9,pond,0/2,503
2024,Jul,P15,4,pond,2/other,504
2024,Jul,P1,1,pond,4,103
2024,Jul,P3,1,pond,4,102
2024,Jul,P11,11,pond,0/2,503
2024,Jul,P13,1,pond,0/1/2,505
2024,Jul,P15,1,pond,2/other,504
2024,Jul,P9,1,pond,2,501
2024,Jul,P11,6,pond,0/2,503
2024,Jul,P12,4,pond,0/2,504
2024,Jul,P15,1,pond,2/other,504
2024,Jul,P11,10,pond,0/2,503
2024,Jul,P13,4,pond,0/1/2,505
2024,Jul,P14,1,pond,0/1/2,502
2024,Jul,P15,1,pond,2/other,504
2024,Aug,P10,16,pond,0/2,504
2024,Aug,P11,14,pond,0/2,503
2024,Aug,P12,2,pond,0/2,504
2024,Aug,P13,2,pond,0/1/2,505
2024,Aug,P15,3,pond,2/other,504
2024,Aug,P10,3,pond,0/2,504
2024,Aug,P11,5,pond,0/2,503
2024,Aug,P12,3,pond,0/2,504
2024,Aug,P13,1,pond,0/1/2,505
2024,Aug,P14,1,pond,0/1/2,502
2024,Aug,P15,22,pond,2/other,504
2024,Aug,P10,19,pond,0/2,504
2024,Aug,P11,20,pond,0/2,503
2024,Aug,P12,4,pond,0/2,504
2024,Aug,P13,1,pond,0/1/2,505
2024,Aug,P15,9,pond,2/other,504
2024,Aug,C1,63,pond,0,NA
2024,Aug,C4,5,pond,other,NA
2024,Aug,P10,1,pond,0/2,504
2024,Aug,P11,6,pond,0/2,503
2024,Aug,P12,2,pond,0/2,504
2024,Aug,P13,1,pond,0/1/2,505
2024,Aug,P15,6,pond,2/other,504
2024,Aug,P19,1,pond,1,628
2024,Aug,C1,11,pond,0,NA
2024,Aug,C4,6,pond,other,NA
2024,Aug,C1,29,pond,0,NA
2024,Aug,P10,1,pond,0/2,504
2024,Aug,P12,786,pond,0/2,504
2024,Aug,C1,11,pond,0,NA
2024,Aug,C4,6,pond,other,NA
2024,Aug,P12,334,pond,0/2,504
2024,Aug,C1,70,pond,0,NA
2024,Aug,C4,4,pond,other,NA
2024,Aug,P4,1,pond,4,100
2024,Aug,P10,11,pond,0/2,504
2024,Aug,P11,27,pond,0/2,503
2024,Aug,P12,18,pond,0/2,504
2024,Aug,P13,2,pond,0/1/2,505
2024,Aug,P16,2,pond,2/other,504
2024,Aug,C1,119,pond,0,NA
2024,Aug,C4,45,pond,other,NA
2024,Aug,P10,23,pond,0/2,504
2024,Aug,P11,1,pond,0/2,503
2024,Aug,P10,2,pond,0/2,504
2024,Aug,P11,1,pond,0/2,503
2024,Aug,C1,21,pond,0,NA
2024,Aug,C4,52,pond,other,NA
2024,Aug,C1,49,pond,0,NA
2024,Aug,C4,171,pond,other,NA
2024,Aug,P4,1,pond,4,100
2024,Aug,P10,2,pond,0/2,504
2024,Aug,P11,1,pond,0/2,503
2024,Aug,C1,1,pond,0,NA
2024,Aug,C4,114,pond,other,NA
2024,Aug,C1,10,pond,0,NA
2024,Aug,C4,15,pond,other,NA
2024,Aug,P20,1,pond,1,423
2024,Aug,C1,5,pond,0,NA
2024,Aug,C4,38,pond,other,NA
2024,Aug,P13,2,pond,0/1/2,505
2024,Aug,P15,7,pond,2/other,504
2024,Aug,P20,1,pond,1,423
2024,Aug,C1,5,pond,0,NA
2024,Aug,C4,33,pond,other,NA
2024,Aug,P11,1,pond,0/2,503
2024,Aug,P13,1,pond,0/1/2,505
2024,Aug,P15,5,pond,2/other,504
2024,Aug,P19,1,pond,1,628
2024,Aug,C1,10,pond,0,NA
2024,Aug,C4,5,pond,other,NA
2024,Aug,P20,2,pond,1,423
2024,Aug,C1,21,pond,0,NA
2024,Aug,C4,13,pond,other,NA
2024,Aug,P10,5,pond,0/2,504
2024,Aug,P11,2,pond,0/2,503
2024,Aug,P18,1,pond,1,1500
