season,season_type,season_year,pond,lot,stocked_date,start_number,start_tl_mm,harvest_date,end_number,end_tl_mm,days_in_pond,growth_mm_day,harvest_morts,survival_percent,stocked_to,fiscal_year,age,starting_count
Spring 2024,Spring,2024,P21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spring 2024,Spring,2024,C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spring 2024,Spring,2024,C2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spring 2024,Spring,2024,C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spring 2024,Spring,2024,C4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2024,Fall,2024,P0,2020,2024-05-15,127,306.3,2024-10-15,122,322,153,0.10261437908496725,0,96.06299212598425,P3,2025,2/other,127
Fall 2024,Fall,2024,P1,2018,2023-12-01,86,345,2024-10-08,73,374,312,0.09294871794871795,0,84.88372093023256,P6,2025,3/other,86
Fall 2024,Fall,2024,P2,2018,2023-12-04,86,336,2024-10-07,76,357,308,0.06818181818181818,0,88.37209302325581,P7,2025,4/other,86
Fall 2024,Fall,2024,P3,2019,2023-12-01,91,335,2024-10-16,85,365,320,0.09375,0,93.4065934065934,P4,2025,4/other,91
Fall 2024,Fall,2024,P4,2019,2023-11-28,91,341,2024-10-14,69,368,321,0.08411214953271028,0,75.82417582417582,P5,2025,1/4,91
Fall 2024,Fall,2024,P5,2020,2024-05-15,132,306,2024-10-15,124,322,153,0.10457516339869281,0,93.93939393939394,P3,2025,1/4,262
Fall 2024,Fall,2024,P6,2021,2023-12-28,266,261,2024-10-08,219,302,285,0.14385964912280702,0,82.33082706766918,P2,2025,1/4,266
Fall 2024,Fall,2024,P7,2017,2024-05-17,53,426,2024-10-07,49,410,143,-0.11188811188811189,0,92.45283018867924,P8,2025,1/4,85
Fall 2024,Fall,2024,P8,2017,2024-05-17,32,426.3,2024-10-07,31,417,143,-0.06503496503496511,0,96.875,P8,2025,1/4,32
Fall 2024,Fall,2024,P9,2022,2023-10-27,401,217,2024-10-09,367,269,348,0.14942528735632185,0,91.52119700748129,P1,2025,1/other,401
Fall 2024,Fall,2024,P10,2024,2024-08-28,1767,81.2,2024-10-23,1411,106,56,0.4428571428571428,84,84.6066779852858,C3-1327,2025,2/other,3000
Fall 2024,Fall,2024,P11,2024,2024-08-28,1669,86.6,2024-10-27,1268,111,60,0.4066666666666668,8,76.45296584781306,C3-1260,2025,2/other,3000
Fall 2024,Fall,2024,P12,2024,2024-05-28,3027,17.9,2024-10-30,1197,121,155,0.6651612903225806,4,39.67624710934919,C3-1180,2025,1/other,3027
Fall 2024,Fall,2024,P13,2024,2024-08-28,640,86.8,2024-10-30,315,129,63,0.6698412698412699,5,50,C3-299,2025,1/other,3012
Fall 2024,Fall,2024,P14,2024,2024-08-28,1600,98.1,2024-10-27,1339,117,60,0.3150000000000001,26,85.3125,C3-1335,2025,0,3031
Fall 2024,Fall,2024,P15,ESS2024,2024-08-28,1865,87.2,2024-11-04,1906,108,68,0.30588235294117644,68,105.84450402144772,P11-903/ B1-909,2025,0,2446
Fall 2024,Fall,2024,P16,ESS2023,2024-08-27,422,156.9,2024-10-23,361,202,57,0.7912280701754385,3,86.25592417061611,"HKM-360, P10-1",2025,0/2,878
Fall 2024,Fall,2024,P17,ESS2023,2024-08-27,486,164.5,2024-10-23,432,194,57,0.5175438596491229,1,89.09465020576131,P10-430/ P9-1,2025,NA,NA
Fall 2024,Fall,2024,P18,2023,2024-08-27,467,175.8,2024-10-21,308,182,55,0.11272727272727252,2,66.38115631691649,P0-82/ P9-226,2025,0,957
Fall 2024,Fall,2024,P19,2023,2024-08-27,457,172.3,2024-10-22,289,178,56,0.10178571428571408,36,71.11597374179432,P0-69/ P9-220,2025,0,957
Fall 2024,Fall,2024,P20,2023,2024-08-27,492,178.5,2024-10-21,445,179,55,0.00909090909090909,8,92.07317073170732,P0-80/ P9-363,2025,0,957
Fall 2024,Fall,2024,P21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2024,Fall,2024,C1,2024,2024-08-02,9510,35,2024-11-06,7647,97,96,0.6458333333333334,19,80.60988433228181,C6-4959/ P12-1296/ P13-1358,2025,other,9510
Fall 2024,Fall,2024,C2,2023,2024-08-19,1345,176,2024-11-04,1262,195,77,0.24675324675324675,0,93.82899628252788,BeattyGap-765/ P0-247/ P9-250,2025,2/other,1345
Fall 2024,Fall,2024,C4,ESS2024,2024-08-02,14250,39,2024-12-18,6010,95,138,0.4057971014492754,24,42.343859649122805,B2- 1815 (untagged) /B4-4112,2025,0,8926
Fall 2024,Fall,2024,C5,ESS2023,2024-08-19,908,159,2024-11-04,873,218,77,0.7662337662337663,2,96.36563876651982,Odessa-805/ P10-68,2025,0/2/wild,908
Spring 2025,Spring,2025,P0,2023,2024-10-23,478,190,2025-01-14,420,205,83,0.18072289156626506,0,87.86610878661088,"B3/100 on 1/18/25, c5/318 on 1/18/25; batch weight",2025,2/other,127
Spring 2025,Spring,2025,P1,2022,2024-10-10,367,269,2025-01-13,349,276,95,0.07368421052631578,1,95.36784741144415,"B3/90 on 1/14/25, C5/259 on 1/15/2025; batch weight",2025,3/other,86
Spring 2025,Spring,2025,P2,2021,2024-10-09,219,302,2025-01-14,161,306,97,0.041237113402061855,0,73.51598173515981,"B3/56 on 1/14/25, C5/105 on 1/14/25; batch weight",2025,4/other,86
Spring 2025,Spring,2025,P3,2020,2024-10-16,246,322,2025-01-13,245,327,89,0.056179775280898875,0,99.59349593495935,"B3/61 on 1/13/25, C5/184 on 1/13/25; batch weight",2025,4/other,91
Spring 2025,Spring,2025,P4,2019,2024-10-16,85,365,2025-01-07,81,371,83,0.07228915662650602,0,95.29411764705881,C5 on 1/7/25; batch weight,2025,1/4,91
Spring 2025,Spring,2025,P5,2019,2024-10-16,69,368,2025-01-07,67,376,83,0.0963855421686747,0,97.10144927536231,B3 on 1/7/25; batch weight,2025,1/4,262
Spring 2025,Spring,2025,P6,2018,2024-10-09,73,374,2025-01-06,62,375,89,0.011235955056179775,0,84.93150684931507,B3 on 1/6/25; batch weight,2025,1/4,266
Spring 2025,Spring,2025,P7,2018,2024-10-09,76,358,2025-01-07,72,365,90,0.07777777777777778,0,94.73684210526315,C5 on 1/7/25; batch weight,2025,1/4,85
Spring 2025,Spring,2025,P8,2017,2024-10-08,80,413,2025-01-06,71,429,90,0.17777777777777778,0,88.75,"B3/31 on 1/6/25, C5/40 on 1/7/25; batch weight",2025,1/4,32
Spring 2025,Spring,2025,P9,SNS2023,2024-10-24,1060,183,2025-03-03,944,186,130,0.023076923076923078,3,89.33962264150944,"P10/454 on 3/9/25, P11/490 on 3/11/25",2025,1/other,401
Spring 2025,Spring,2025,P10,ESS2023,2024-10-25,500,197,2025-03-03,342,202,129,0.03875968992248062,7,69.8,P3/342 on 3/9/25,2025,2/other,3000
Spring 2025,Spring,2025,P11,ESS2024,2024-11-05,903,107.6,2025-02-26,813,109,113,0.012389380530973501,5,90.58693244739756,P2/813 on 2/28/25,2025,2/other,3000
Spring 2025,Spring,2025,P12,2024,2024-11-08,1296,75.2,2025-03-04,997,75,116,-0.0017241379310345072,37,79.78395061728395,"P8/501 on 3/6/2025, P9/496 on 3/7/25",2025,1/other,3027
Spring 2025,Spring,2025,P13,2024,2024-11-08,1358,76.2,2025-03-04,1079,76,116,-0.0017241379310345072,64,84.1678939617084,"P4/581 on 3/6/25, P5/498 on 3/6/25",2025,1/other,3012
Spring 2025,Spring,2025,B1,ESS2024,2024-11-06,909,108,2025-02-25,61,96,111,-0.10810810810810811,0,6.710671067106711,P2/61 on 2/28/25,2025,wild/other,NA
Spring 2025,Spring,2025,B2,ESS2024,2024-12-20,1815,78.4,2025-02-25,122,76,67,-0.035820895522388145,1,6.776859504132231,P1/122 on 2/27/25,2025,0/wild/other,NA
Spring 2025,Spring,2025,B3,WildBR,2025-01-06,467,337,2025-03-10,299,369,63,0.5079365079365079,0,64.02569593147751,"B1/79 on 3/11/25, B2/124 on 3/11/25, B4/96 on 3/11/25",2025,0/wild,NA
Spring 2025,Spring,2025,B4,ESS2024,2024-12-23,4112,100.2,2025-02-25,1247,101,64,0.012499999999999956,3,30.3988326848249,"P0/656 on 2/27/25, P1/591 on 2/27/25",2025,0/wild/other,NA
Spring 2025,Spring,2025,B1,Wild BR,2025-03-11,241,390,2025-04-01,240,390,21,0,1,100,B3/240 hand counted,2025,wild/other,NA
Spring 2025,Spring,2025,B2,Wild BR,2025-03-11,208,390,2025-04-21,195,403,41,0.3170731707317073,0,93.75,B1/101 on 4/27/25; B1/94 in net pen,2025,0/wild/other,NA
Spring 2025,Spring,2025,B3,Wild BR,2025-04-01,240,390,2025-04-21,240,390,20,0,0,100,C3/240 on 4/22/25; hand counted,2025,0/wild,NA
Spring 2025,Spring,2025,B4,Wild BR,2025-03-11,411,313,2025-04-22,400,321,42,0.19047619047619047,2,97.8102189781022,C3/400 on 4/22/25; hand counted,2025,0/wild/other,NA
Spring 2025,Spring,2025,C3,2024,2024-10-27,5401,111.4,2025-03-04,115,91,128,-0.15937500000000004,9,2.2958711349750045,P7/115 on 3/5/25,2025,1/wild,NA
Spring 2025,Spring,2025,C5,WildBR,2025-01-07,1059,310,2025-03-11,561,351,63,0.6507936507936508,0,52.97450424929179,"B1/162 on 3/12/25, B2/84 on 3/12/25, B4/315 on 3/12/25",2025,0/2/wild,908
Spring 2025,Spring,2025,C6,2024,2024-11-08,4959,106,2025-03-03,799,96,115,-0.08695652173913043,3,16.172615446662633,"P6/500 on 3/4/25, P7/299 on 3/4/25",2025,1/other,NA
Fall 2025,Fall,2025,P0,ESS2024,2025-02-27,656,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P1,ESS2024,2025-02-27,713,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P2,ESS2024,2025-02-28,874,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P3,ESS2023,2025-03-09,342,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P4,2024,2025-03-06,581,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P5,2024,2025-03-06,498,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P6,2024,2025-03-04,500,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P7,2024,2025-03-04,414,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P8,2024,2025-03-06,501,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P9,2024,2025-03-07,496,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P10,2023,2025-03-09,454,184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P11,2023,2025-03-11,490,187,2025-09-25,452,238,198,0.25757575757575757,4,93.06122448979592,P10/35; TKT/417 on 10/25,2025,2/other,3000
Fall 2025,Fall,2025,P12,ESS2025,2025-04-28,1725,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P13,ESS2025,2025-04-28,1728,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P14,2025,2025-06-12,635,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P15,2025,2025-06-12,500,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P16,2025,2025-06-12,641,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P18,2025,2025-06-12,641,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P19,2025,2025-06-12,500,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,P20,2025,2025-06-12,667,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,B1,Wild BR,2025-04-27,195,406.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,B2,2025,2025-05-24,7548,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,B3,2025,2025-05-21,7923,10.5,2025-09-29,4860,89,131,0.5992366412213741,111,62.74138583869746,C1/3850; S3/867 to Tribes on 10/21/25,2025,0/wild,NA
Fall 2025,Fall,2025,B4,2025,2025-05-20,7531,10.5,2025-09-30,5602,100,133,0.6729323308270677,39,74.90373124419068,C1/4800; S3/743 to Tribes on 10/21/25,2025,0/wild/other,NA
Fall 2025,Fall,2025,C1,ESS2025,2025-05-02,25530,11,2025-09-11,11553,80,132,0.5227272727272727,1144,49.733646690168435,"C2/8,527",2025,other,9510
Fall 2025,Fall,2025,C2,ESS2025,2025-04-28,25009,11,2025-09-10,10702,74,135,0.4666666666666667,1429,48.50653764644728,"C2/5,247",2025,2/other,1345
Fall 2025,Fall,2025,C3,Wild BR,2025-04-22,640,363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,C4,2025,2025-06-09,19995,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,C5,2025,2025-06-06,19266,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fall 2025,Fall,2025,C6,SNS2025,2025-06-06,23781,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
